台灣MOD,#genre#
MOD導視,udp://@230.1.2.108:11111
MOD導視,udp://@230.1.2.107:11111
好消息2台,udp://@230.1.2.151:11111
好消息2台,udp://@224.1.4.122:11111
民視,udp://@230.1.2.226:11111
民視,udp://@224.1.4.6:11111
人間衛視,udp://@230.1.2.193:11111
人間衛視,udp://@224.1.4.89:11111
台視,udp://@230.1.2.227:11111
台視,udp://@224.1.4.8:11111
大愛1台,udp://@230.1.2.190:11111
大愛1台,udp://@224.1.4.54:11111
中視,udp://@230.1.2.228:11111
中視,udp://@224.1.4.10:11111
華視,udp://@230.1.2.229:11111
華視,udp://@224.1.4.12:11111
公視,udp://@230.1.2.230:11111
公視,udp://@224.1.4.53:11111
公視台語台,udp://@230.1.2.185:11111
公視台語台,udp://@230.1.2.31:11111
好消息1台,udp://@230.1.2.165:11111
好消息1台,udp://@224.1.4.4:11111
原住民衛視,udp://@230.1.2.235:11111
原住民衛視,udp://@224.1.4.76:11111
客家衛視,udp://@224.1.4.201:11111
客家衛視,udp://@224.1.4.17:11111
TVBS歡樂,udp://@224.1.4.154:11111
TVBS歡樂,udp://@224.1.4.2:11111
TVBS新聞,udp://@224.1.4.152:11111
TVBS新聞,udp://@224.1.4.13:11111
TVBS,udp://@224.1.4.153:11111
TVBS,udp://@224.1.4.24:11111
非凡新聞,udp://@230.1.2.92:11111
非凡新聞,udp://@224.1.4.158:11111
華視教育體育文化台,udp://@224.1.4.223:11111
華視教育體育文化台,udp://@224.1.4.96:11111
公視3台,udp://@230.1.2.62:11111
公視3台,udp://@224.1.4.228:11111
大愛2台,udp://@230.1.2.199:11111
大愛2台,udp://@230.1.2.29:11111
MY KIDS,udp://@230.1.2.150:11111
MY KIDS,udp://@224.1.4.21:11111
Cartoonito,udp://@224.1.4.161:11111
Cartoonito,udp://@224.1.4.15:11111
ELTV生活英語,udp://@230.1.2.83:11111
ELTV生活英語,udp://@224.1.4.216:11111
龍華動畫,udp://@224.1.4.180:11111
龍華動畫,udp://@224.1.4.109:11111
尼克動畫,udp://@224.1.4.45:11111
尼克動畫,udp://@224.1.4.249:11111
靖洋卡通,udp://@224.1.4.23:11111
靖洋卡通,udp://@230.1.2.161:11111
靖天卡通,udp://@224.1.4.25:11111
靖天卡通,udp://@230.1.2.162:11111
Cbeebies,udp://@224.1.4.213:11111
Cbeebies,udp://@224.1.4.75:11111
達文西頻道,udp://@224.1.4.233:11111
達文西頻道,udp://@230.1.2.67:11111
尼克少兒,udp://@224.1.4.179:11111
尼克少兒,udp://@224.1.4.58:11111
Dreamworks,udp://@224.1.4.177:11111
Dreamworks,udp://@224.1.4.121:11111
國會頻道1,udp://@230.1.2.41:11111
國會頻道1,udp://@224.1.4.173:11111
國會頻道2,udp://@230.1.2.42:11111
國會頻道2,udp://@224.1.4.174:11111
Medici Arts,udp://@230.1.2.180:11111
Medici Arts,udp://@224.1.4.26:11111
MTV Live,udp://@230.1.2.246:11111
MTV Live,udp://@230.1.2.86:11111
MTV台灣,udp://@230.1.2.231:11111
MTV台灣,udp://@230.1.2.43:11111
Mezzo Live,udp://@230.1.2.81:11111
Mezzo Live,udp://@224.1.4.240:11111
Trace Urban,udp://@230.1.2.82:11111
Trace Urban,udp://@224.1.4.241:11111
Classica古典音樂台,udp://@224.1.4.74:11111
Classica古典音樂台,udp://@230.1.2.139:11111
C Music,udp://@224.1.4.159:11111
